id,modularity_class
5,5
9,9
10,10
14,14
17,17
19,19
21,21
26,26
30,30
43,43
45,45
49,49
53,53
57,57
61,61
69,69
77,77
87,87
96,96
99,99
101,101
102,102
103,103
116,116
120,120
126,126
141,141
143,143
145,145
148,148
154,154
165,165
171,171
183,183
185,185
186,186
188,188
195,195
196,196
203,203
208,208
209,209
211,211
212,212
217,217
229,229
239,239
240,240
242,242
243,243
244,244
245,245
248,248
249,249
250,250
252,252
254,254
255,255
261,261
264,264
265,265
266,266
268,268
269,269
274,274
275,275
277,277
278,278
279,279
280,280
281,281
282,282
283,283
284,284
288,288
290,290
291,291
292,292
295,295
296,296
297,297
299,299
300,300
301,301
302,302
303,303
304,304
306,306
307,307
310,310
311,311
313,313
314,314
315,315
316,316
317,317
318,318
319,319
320,320
324,324
325,325
330,330
331,331
333,333
335,335
336,336
337,337
339,339
341,341
342,342
344,344
346,346
347,347
348,348
349,349
351,351
354,354
356,356
357,357
359,359
360,360
361,361
364,364
366,366
367,367
368,368
370,370
376,376
380,380
382,382
386,386
391,391
394,394
396,396
399,399
402,402
407,407
408,408
409,409
410,410
412,412
414,414
423,423
424,424
426,426
428,428
432,432
434,434
436,436
437,437
443,443
449,449
452,452
453,453
455,455
456,456
457,457
460,460
461,461
462,462
463,463
466,466
467,467
472,472
473,473
479,479
483,483
488,488
489,489
490,490
493,493
495,495
499,499
500,500
503,503
504,504
508,508
511,511
512,512
515,515
523,523
524,524
525,525
531,531
533,533
535,535
536,536
537,537
539,539
541,541
551,551
552,552
553,553
555,555
557,557
559,559
563,563
565,565
566,566
568,568
574,574
578,578
581,581
583,583
589,589
594,594
599,599
602,602
607,607
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
618,618
621,621
622,622
623,623
624,624
625,625
627,627
628,628
629,629
631,631
632,632
633,633
634,634
635,635
636,636
637,637
638,638
639,639
640,640
641,641
642,642
643,643
644,644
645,645
646,646
647,647
648,648
649,649
650,650
651,651
652,652
653,653
654,654
655,655
656,656
657,657
658,658
660,660
661,661
662,662
663,663
664,664
665,665
666,666
667,667
668,668
669,669
670,670
671,671
672,672
673,673
674,674
675,675
676,676
677,677
678,678
679,679
680,680
681,681
682,682
683,683
684,684
686,686
687,687
688,688
689,689
690,690
691,691
692,692
693,693
694,694
695,695
696,696
697,697
698,698
699,699
700,700
701,701
702,702
703,703
704,704
706,706
707,707
708,708
709,709
710,710
711,711
712,712
713,713
714,714
715,715
716,716
717,717
718,718
719,719
720,720
721,721
722,722
723,723
724,724
725,725
726,726
727,727
728,728
730,730
731,731
732,732
733,733
734,734
735,735
736,736
737,737
738,738
739,739
740,740
741,741
742,742
743,743
744,744
746,746
747,747
748,748
749,749
750,750
751,751
753,753
754,754
755,755
756,756
757,757
758,758
759,759
760,760
761,761
762,762
765,765
766,766
767,767
768,768
770,770
771,771
773,773
774,774
775,775
776,776
777,777
779,779
780,780
781,781
782,782
783,783
784,784
785,785
790,790
791,791
792,792
795,795
797,797
798,798
800,800
801,801
805,805
806,806
807,807
808,808
809,809
810,810
813,813
814,814
816,816
817,817
819,819
820,820
821,821
822,822
823,823
824,824
825,825
826,826
827,827
828,828
830,830
833,833
834,834
836,836
837,837
838,838
839,839
840,840
841,841
842,842
843,843
844,844
845,845
846,846
847,847
849,849
850,850
860,860
863,863
865,865
867,867
870,870
872,872
877,877
878,878
893,893
895,895
897,897
898,898
900,900
903,903
905,905
911,911
916,916
920,920
921,921
922,922
928,928
933,933
936,936
937,937
938,938
940,940
941,941
945,945
947,947
950,950
955,955
957,957
965,965
969,969
972,972
973,973
975,975
977,977
980,980
981,981
983,983
991,991
993,993
996,996
997,997
999,999
1003,1003
1006,1006
1008,1008
1011,1011
1016,1016
1017,1017
1020,1020
1023,1023
1025,1025
1026,1026
1033,1033
1038,1038
1041,1041
1042,1042
1044,1044
1045,1045
1047,1047
1048,1048
1050,1050
1051,1051
1053,1053
1054,1054
1057,1057
1060,1060
1065,1065
1066,1066
1067,1067
1069,1069
1070,1070
1071,1071
1074,1074
1076,1076
1079,1079
1087,1087
1089,1089
1090,1090
1091,1091
1095,1095
1096,1096
1102,1102
1104,1104
1108,1108
1110,1110
1114,1114
1116,1116
1118,1118
1119,1119
1120,1120
1122,1122
1125,1125
1126,1126
1129,1129
1130,1130
1131,1131
1132,1132
1133,1133
1136,1136
1137,1137
1138,1138
1139,1139
1142,1142
1144,1144
1151,1151
1153,1153
1154,1154
1156,1156
1157,1157
1158,1158
1161,1161
1162,1162
1166,1166
1170,1170
1173,1173
1175,1175
1178,1178
1179,1179
1182,1182
1183,1183
1185,1185
1187,1187
1188,1188
1189,1189
1190,1190
1193,1193
1196,1196
1198,1198
1199,1199
1201,1201
1204,1204
1205,1205
1206,1206
1208,1208
1220,1220
1221,1221
1225,1225
1227,1227
1229,1229
1235,1235
1237,1237
1239,1239
1240,1240
1241,1241
1243,1243
1251,1251
1252,1252
1256,1256
1260,1260
1263,1263
1264,1264
1265,1265
1270,1270
1271,1271
1272,1272
1273,1273
1277,1277
1280,1280
1284,1284
1285,1285
1289,1289
1290,1290
1295,1295
1296,1296
1297,1297
1298,1298
1306,1306
1307,1307
1310,1310
1311,1311
1312,1312
1313,1313
1315,1315
1317,1317
1318,1318
1320,1320
1322,1322
1323,1323
1324,1324
1325,1325
1326,1326
1327,1327
1328,1328
1329,1329
1330,1330
1331,1331
1332,1332
1335,1335
1336,1336
1337,1337
1338,1338
1339,1339
1340,1340
1341,1341
1342,1342
1343,1343
1344,1344
1345,1345
1346,1346
1347,1347
1348,1348
1349,1349
1350,1350
1351,1351
1352,1352
1353,1353
1354,1354
1355,1355
1356,1356
1357,1357
1358,1358
1360,1360
1364,1364
1365,1365
1368,1368
1372,1372
1376,1376
1377,1377
1380,1380
1384,1384
1385,1385
1386,1386
1388,1388
1393,1393
1394,1394
1395,1395
1399,1399
1400,1400
1401,1401
1403,1403
1409,1409
1413,1413
1416,1416
1417,1417
1419,1419
1420,1420
1422,1422
1424,1424
1427,1427
1432,1432
1433,1433
1435,1435
1439,1439
1442,1442
1444,1444
1449,1449
1450,1450
1451,1451
1452,1452
1453,1453
1460,1460
1461,1461
1468,1468
1471,1471
1476,1476
1479,1479
1485,1485
1489,1489
1490,1490
1496,1496
1497,1497
1498,1498
1500,1500
1501,1501
1503,1503
1509,1509
1512,1512
1515,1515
1520,1520
1522,1522
1529,1529
1534,1534
1536,1536
1538,1538
1539,1539
1542,1542
1547,1547
1548,1548
1549,1549
1553,1553
1554,1554
1555,1555
1564,1564
1572,1572
1576,1576
1578,1578
1580,1580
1581,1581
1586,1586
1589,1589
1590,1590
1591,1591
1596,1596
1602,1602
1606,1606
1607,1607
1608,1608
1609,1609
1610,1610
1611,1611
1614,1614
1617,1617
1626,1626
1639,1639
1640,1640
1642,1642
1643,1643
1646,1646
1648,1648
1651,1651
1652,1652
1653,1653
1659,1659
1661,1661
1663,1663
1666,1666
1668,1668
1669,1669
1671,1671
1672,1672
1675,1675
1679,1679
1682,1682
1684,1684
1687,1687
1689,1689
1692,1692
1696,1696
1698,1698
1699,1699
1701,1701
1702,1702
1703,1703
1711,1711
1714,1714
1716,1716
1718,1718
1719,1719
1728,1728
1729,1729
1732,1732
1738,1738
1743,1743
1748,1748
1749,1749
1762,1762
1767,1767
1771,1771
1773,1773
1774,1774
1775,1775
1776,1776
1782,1782
1785,1785
1786,1786
1799,1799
1802,1802
1805,1805
1814,1814
1815,1815
1816,1816
1817,1817
1818,1818
1821,1821
1822,1822
1823,1823
1824,1824
1826,1826
1827,1827
1828,1828
1829,1829
1830,1830
1832,1832
1833,1833
1834,1834
1835,1835
1836,1836
1838,1838
1840,1840
1843,1843
1844,1844
1847,1847
1848,1848
1849,1849
1851,1851
1855,1855
1857,1857
1858,1858
1861,1861
1862,1862
1864,1864
1865,1865
1870,1870
1874,1874
1875,1875
1876,1876
1877,1877
1882,1882
1883,1883
1885,1885
1888,1888
1889,1889
1891,1891
1893,1893
1894,1894
1897,1897
1899,1899
1900,1900
1903,1903
1905,1905
1906,1906
1907,1907
1912,1912
1917,1917
1918,1918
1920,1920
1923,1923
1926,1926
1927,1927
1928,1928
1930,1930
1932,1932
1933,1933
1934,1934
1940,1940
1942,1942
1944,1944
1945,1945
1946,1946
1947,1947
1949,1949
1952,1952
1956,1956
1957,1957
1958,1958
1959,1959
1960,1960
1961,1961
1963,1963
1964,1964
1967,1967
1969,1969
1973,1973
1976,1976
1977,1977
1980,1980
1981,1981
1985,1985
1987,1987
1988,1988
1990,1990
1996,1996
1999,1999
2003,2003
2004,2004
2005,2005
2007,2007
2008,2008
2010,2010
2014,2014
2016,2016
2017,2017
2020,2020
2022,2022
2024,2024
2027,2027
2033,2033
2035,2035
2037,2037
2040,2040
2043,2043
2045,2045
2046,2046
2051,2051
2052,2052
2057,2057
2066,2066
2068,2068
2069,2069
2071,2071
2077,2077
2084,2084
2086,2086
2087,2087
2088,2088
2091,2091
2092,2092
2100,2100
2103,2103
2106,2106
2110,2110
2112,2112
2115,2115
2117,2117
2118,2118
2120,2120
2123,2123
2131,2131
2132,2132
2133,2133
2136,2136
2137,2137
2141,2141
2144,2144
2146,2146
2149,2149
2150,2150
2154,2154
2157,2157
2158,2158
2160,2160
2162,2162
2163,2163
2164,2164
2166,2166
2173,2173
2174,2174
2175,2175
2176,2176
2180,2180
2182,2182
2185,2185
2187,2187
2189,2189
2190,2190
2191,2191
2193,2193
2197,2197
2199,2199
2200,2200
2203,2203
2205,2205
2207,2207
2211,2211
2214,2214
2215,2215
2216,2216
2219,2219
2220,2220
2224,2224
2225,2225
2226,2226
2229,2229
2238,2238
2244,2244
2245,2245
2248,2248
2250,2250
2252,2252
2253,2253
2260,2260
2266,2266
2267,2267
2270,2270
2276,2276
2279,2279
2287,2287
2304,2304
2307,2307
2308,2308
2318,2318
2324,2324
2338,2338
2354,2354
2357,2357
2359,2359
2361,2361
2362,2362
2366,2366
2367,2367
2369,2369
