id,label,timeset,rec_commentlikes,rec_reactions,actions,rec_comments,made_comments,made_reactions,made_posts,modularity_class
c31841967abef266a60923efffb146501a0afa52,3455a5aa2120a356eff48843b58597a55838253a,,15,31,21,1,7,11,3,0
fe8e81920cdf776b5b82f3d42578c5ab00bd906f,0290c2e3989aa7a7f8665730a9839121415b283d,,0,0,1,0,0,1,0,0
3620477a433c8ce11f3be6cdbf262fd5cb63cde5,f777f6ac2b2156aa0c0541f469c7176924bac65f,,15,0,12,0,5,7,0,0
c7018e16740a53b3a105be8493447614391a50bd,19fd3a85e9505a40e3d32b23e9f2a54917bcf9a0,,0,0,1,0,0,1,0,0
24fbe21616c3410807854ba522bdfac46e0ca10b,59581f76209e1a649383b9fc4e76c32e2d94ee20,,9,0,11,0,2,9,0,4
c1dc35c5f5ad6ebfbd7ecfde7f9e99856d5d4cce,852d11e1f697901a0818dbc5d8ea2bc8e46b1112,,33,156,44,43,11,27,6,0
e8439bc876901a440031775bedf928711ccdd9c3,a1fce9a7e0474b2dfebac8666fd8aabf29e6ee0c,,0,48,17,1,1,14,2,4
64cd19e2f478ceaa8d1cd9f559fbadcd72adfbb7,7126db2fa3c8f668fde25bd5dac96ab9d056dc87,,0,0,4,0,0,4,0,0
2666ede56c6636b0ca197ffd0bf27388972363ce,33c7cbb68d647ba18e46914326ece0c6045d6c0c,,1,0,9,0,3,6,0,0
4e267def6707b488d38971e9f4297e74931d06b9,a4d800e4ebbb8be75bde2c8e0f9ccb9906d0ccef,,0,121,7,11,0,6,1,1
bf41351eb7c6ba568c45dae8c39e2517cc54ed1a,2814e011172c5515ed12bdcb6165b94a33b94e1b,,0,0,8,0,2,6,0,4
c22f1e82700d07300fb31f50cb6f79e2c959b883,dbd03733277e8d543559e103a253fb2a47598016,,1,38,31,1,2,28,1,2
2818129054b1fe4cfefe2a631fd0f0efa9125fa6,5bac9825054607cae98888ef120fee787197b441,,0,0,12,0,0,12,0,0
7cf9faf31822f30ece854f676addb2b4e77f125c,e171366f4fcc756413280f2331f504218900e4d8,,0,0,14,0,2,12,0,0
e51ce6cb5035a17b2baf04f93a5727b8c363abc6,d82285ccfef893e56c7fb8414ddd1486835133fd,,0,0,1,0,0,0,1,3
32e62b1e3c0856b35b1718fb3ae6e173f7994e56,b9c4f618a736f991c3cbf3aae6700483515f8010,,14,2,5,0,2,2,1,1
7c79244de5bfceb88e9958462c93f3b8f65d8b8f,ef59f0e961eee9949487bab7448b1b8ff068a0bd,,0,0,1,0,0,1,0,1
