id,modularity_class
282,289
93,289
94,289
96,289
22,289
105,289
30,289
119,289
121,289
125,289
144,289
5,289
152,289
77,289
159,289
160,289
3,289
109,289
174,289
181,289
186,289
14,289
187,289
189,289
192,289
193,289
202,289
203,289
215,289
220,289
72,289
170,289
54,289
139,289
229,289
237,289
243,289
252,289
256,289
260,289
264,289
110,289
11,289
24,289
46,289
48,289
116,289
172,289
148,289
78,289
62,289
128,289
2,289
244,289
273,289
274,289
275,289
278,289
279,289
117,289
38,289
26,289
13,289
100,289
280,289
265,289
281,289
224,289
283,289
98,289
285,289
222,289
184,289
287,289
66,289
209,289
142,289
293,289
297,289
300,289
301,289
303,289
44,289
55,289
69,289
25,289
120,289
134,289
165,289
226,289
231,289
6,289
288,289
104,289
196,289
122,289
221,289
36,289
37,289
234,289
80,289
155,289
208,289
91,289
82,289
194,289
35,289
295,302
284,302
97,302
84,302
4,302
15,302
21,302
32,302
50,302
57,302
71,302
83,302
85,302
86,302
90,302
92,302
101,302
108,302
113,302
127,302
129,302
133,302
135,302
136,302
137,302
154,302
124,302
173,302
176,302
178,302
7,302
33,302
99,302
34,302
131,302
158,302
168,302
179,302
87,302
147,302
205,302
207,302
212,302
216,302
223,302
235,302
245,302
246,302
247,302
251,302
253,302
254,302
271,302
201,302
161,302
103,302
28,302
39,302
64,302
68,302
59,302
12,302
29,302
31,302
41,302
58,302
106,302
107,302
111,302
114,302
115,302
138,302
141,302
145,302
146,302
151,302
164,302
167,302
169,302
175,302
180,302
183,302
195,302
200,302
213,302
214,302
218,302
75,302
232,302
238,302
240,302
248,302
255,302
263,302
272,302
171,302
228,302
42,302
73,302
95,302
291,302
292,302
1,302
19,302
294,302
296,302
157,302
219,302
302,302
153,302
51,302
227,302
308,302
304,304
53,304
242,304
40,304
305,305
298,305
290,305
241,305
130,305
52,305
18,305
9,305
47,305
60,305
61,305
67,305
81,305
88,305
188,305
198,305
230,305
249,305
258,305
259,305
261,305
262,305
276,305
0,305
185,305
299,305
70,305
10,305
27,305
126,305
177,305
210,305
270,305
306,306
118,306
56,306
8,306
20,306
76,306
123,306
182,306
199,306
204,306
112,306
74,306
16,306
162,306
206,306
257,306
268,306
140,306
143,306
150,306
156,306
163,306
191,306
197,306
217,306
23,306
225,306
239,306
102,306
267,306
289,306
190,306
166,306
17,306
45,306
65,306
79,306
89,306
149,306
233,306
236,306
266,306
277,306
286,306
307,307
269,307
250,307
43,307
49,307
63,307
132,307
211,307
