id,modularity_class
224,228
75,228
142,228
213,228
128,228
2,228
171,228
152,228
139,228
193,228
88,228
244,228
77,228
5,228
39,228
28,228
180,228
195,228
164,228
201,228
114,228
227,228
151,228
106,228
264,228
161,228
57,228
34,228
1,228
76,228
206,228
20,228
68,228
181,228
222,236
170,236
184,236
72,236
194,236
23,236
208,236
202,236
285,236
54,236
33,236
255,236
211,236
58,236
99,236
294,236
95,236
66,236
209,236
243,236
61,236
292,236
92,236
137,236
178,236
19,236
207,236
235,236
254,236
4,236
32,236
83,236
84,236
85,236
86,236
90,236
97,236
108,236
129,236
135,236
136,236
154,236
50,236
173,236
176,236
179,236
205,236
98,236
212,236
245,236
246,236
15,236
21,236
125,236
247,236
71,236
253,236
272,236
113,236
127,236
284,236
291,236
296,236
157,236
87,236
7,236
133,236
124,236
303,236
287,236
302,236
168,236
131,236
158,236
223,236
269,269
132,269
150,269
91,269
105,269
163,269
191,269
217,269
156,269
250,269
63,269
225,269
140,269
267,269
102,269
43,269
143,269
197,269
239,269
49,269
286,269
289,269
155,269
82,269
307,269
232,269
283,269
276,276
199,276
80,276
0,276
185,276
249,276
268,276
258,276
257,276
188,276
204,276
112,276
74,276
16,276
162,276
51,276
198,276
230,276
259,276
261,276
104,276
262,276
123,276
182,276
299,276
210,276
10,276
27,276
70,276
126,276
177,276
270,276
260,276
282,282
236,282
79,282
149,282
166,282
190,282
144,282
81,282
89,282
65,282
35,282
233,282
45,282
17,282
93,282
266,282
265,282
30,282
110,282
11,282
36,282
37,282
277,282
280,282
46,282
48,282
300,282
24,282
274,282
116,282
172,282
153,282
67,282
275,282
273,282
221,282
216,282
18,282
52,282
100,282
13,282
26,282
38,282
117,282
121,282
9,282
130,282
174,282
119,282
60,282
203,282
96,282
22,282
241,282
252,282
256,282
47,282
279,282
290,282
297,282
293,282
189,282
298,282
301,282
14,282
237,282
186,282
226,282
165,282
69,282
25,282
305,282
148,282
218,282
64,296
103,296
115,296
251,296
147,296
278,296
295,302
175,302
214,302
169,302
29,302
111,302
94,302
248,302
141,302
263,302
281,302
62,302
220,302
228,302
78,302
159,302
146,302
234,302
196,302
3,302
160,302
109,302
122,302
229,302
101,302
73,302
238,302
167,302
41,302
183,302
145,302
12,302
107,302
215,302
192,302
59,302
240,302
31,302
304,304
134,304
120,304
44,304
231,304
53,304
242,304
40,304
219,304
187,304
55,304
6,304
288,304
306,306
56,306
118,306
8,306
308,308
200,308
42,308
271,308
138,308
